txn_id,date,description,true_category,amount
TXN00001,07-05-2025,UBER *TRIP 2625,Transport,-811.89
TXN00002,28-06-2025,UPI-BOOKMYSHOW-8264@okhdfc,Entertainment,-220.16
TXN00003,22-05-2025,POS 2210 LIFESTYLE STORE,Shopping,-1075.17
TXN00004,24-02-2025,UPI-BLINKIT-6617@ybl,Groceries,-3003.60
TXN00005,08-01-2025,DECATHLON SPORTS 2291,Shopping,-5661.19
TXN00006,12-06-2025,UPI-GASBILLPAY-1359@ybl,Bills & Utilities,-457.78
TXN00007,29-06-2025,IMPS-TO-MOM-8450,Income & Transfers,"Rs. -5,356.98"
TXN00008,21-02-2025,BBPS-ELECTRICITY-5905,Bills & Utilities,"Rs. -1,667.19"
TXN00009,13-03-2025,POS 1140 UDEMY ONLINE,Education,"Rs. -9,626.28"
TXN00010,01-01-2025,TEST TRANSACTION DO NOT PROCESS,Income & Transfers,1.00
TXN00011,01-04-2025,POS 7719 BARBEQUE NATION,Food & Dining,Rs. -658.75
TXN00012,02-03-2025,AMAZON.IN 6050,Shopping,-5723.40
TXN00013,16-06-2025,UPI-ZEPTO-9697@okaxis,Groceries,-2343.28
TXN00014,02-02-2025,BBPS-BROADBAND-ACT-9834,Bills & Utilities,-2071.57
TXN00015,16-04-2025,UPI-HPCLPETROL-7071@paytm,Transport,Rs. -423.26
TXN00016,27-04-2025,UPI-ZEPTO-3939@okaxis,Groceries,-2323.25
TXN00017,22-05-2025,POS 0092 GENERAL STORE,Groceries,"Rs. -2,208.06"
TXN00018,29-04-2025,SWIGGY*ORD5658 BANGALORE,Food & Dining,Rs. -365.40
TXN00019,27-01-2025,UPI-BURGERKING-2290@paytm,Food & Dining,"Rs. -1,120.93"
TXN00020,22-06-2025,UPI-JIOPREPAID-3290@okaxis,Bills & Utilities,-598.73
TXN00021,16-01-2025,IMPS-MAINTENANCE-SOC-4483,Rent & Housing,-13344.05
TXN00022,17-06-2025,POS 3320 SPENCERS RETAIL,Groceries,-399.63
TXN00023,20-03-2025,AMAZON.IN 5978,Shopping,-4952.25
TXN00024,17-06-2025,SPOTIFY AB 2886,Entertainment,Rs. -647.51
TXN00025,21-04-2025,UPI-AJIO-2402@okicici,Shopping,
TXN00026,18-06-2025,MC DONALDS IN 3024,Food & Dining,-986.36
TXN00027,06-06-2025,POS 8842 PVR CINEMAS,Entertainment,-1126.62
TXN00028,13-02-2025,UPI-BURGERKING-5033@paytm,Food & Dining,Rs. -579.40
TXN00029,26-05-2025,UPI-SPLITWISE-SETTLE-5377@okaxis,Income & Transfers,-52483.79
TXN00030,03-04-2025,UPI-NYKAA-5892@ybl,Shopping,-3382.66
TXN00031,17-01-2025,POS 4521 CCD MG ROAD,Food & Dining,-454.24
TXN00032,24-03-2025,UPI-PRACTO-3881@okicici,Healthcare,-3939.90
TXN00033,29-01-2025,SWIGGY*ORD4770 BANGALORE,Food & Dining,-876.49
TXN00034,20-02-2025,POS 1140 UDEMY ONLINE,Education,"Rs. -9,815.08"
TXN00035,07-02-2025,POS 3320 SPENCERS RETAIL,Groceries,Rs. -415.02
TXN00036,05-03-2025,UPI-BYJUS-3938@okaxis,Education,-1966.28
TXN00037,10-02-2025,BBPS-ELECTRICITY-6138,Bills & Utilities,-3125.98
TXN00038,06-04-2025,NATURE BASKET STORE 8956,Groceries,-2177.89
TXN00039,25-03-2025,UPI-SPLITWISE-SETTLE-6198@okaxis,Income & Transfers,"Rs. -29,810.78"
TXN00040,11-05-2025,UPI-CHAIPOINT-5728@okhdfc,Food & Dining,-1183.62
TXN00041,02-05-2025,UPI-1MG-9056@ybl,Healthcare,-4735.97
TXN00042,14-02-2025,BBPS-ELECTRICITY-2343,Bills & Utilities,-2287.06
TXN00043,17-04-2025,UPI-NYKAA-8532@ybl,Shopping,-5476.24
TXN00044,05-02-2025,UPI-BLINKIT-2235@ybl,Groceries,-3468.17
TXN00045,29-01-2025,POS 8842 PVR CINEMAS,Entertainment,Rs. -162.42
TXN00046,13-05-2025,SPOTIFY AB 9199,Entertainment,-898.14
TXN00047,03-06-2025,BBPS-WATERBOARD-2315,Bills & Utilities,-2240.50
TXN00048,01-01-2025,ZOMATO ONLINE ORDER 4582,Food & Dining,"Rs. -1,024.06"
TXN00049,23-03-2025,UPI-SPLITWISE-SETTLE-2193@okaxis,Income & Transfers,-37408.42
TXN00050,23-03-2025,SWIGGY*ORD5011 BANGALORE,Food & Dining,Rs. -180.22
TXN00051,20-04-2025,DECATHLON SPORTS 6511,Shopping,"Rs. -1,113.94"
TXN00052,23-03-2025,UPI-AJIO-3417@okicici,Shopping,Rs. -481.45
TXN00053,18-04-2025,UPI-DTHRECHARGE-8616@paytm,Bills & Utilities,"Rs. -2,556.28"
TXN00054,28-04-2025,SWIGGY*ORD5786 BANGALORE,Food & Dining,-1196.72
TXN00055,06-02-2025,SWIGGY*ORD7396 BANGALORE,Food & Dining,Rs. -985.58
TXN00056,03-03-2025,UBER *TRIP 6862,Transport,Rs. -621.64
TXN00057,15-01-2025,UPI-DIAGNOSTICLAB-6168@paytm,Healthcare,"Rs. -2,661.39"
TXN00058,15-05-2025,BIGBASKET.COM 5415,Groceries,-1960.54
TXN00059,04-05-2025,UPI-DOMINOS PIZZA-2940@okaxis,Food & Dining,-392.63
TXN00060,16-03-2025,UPI-NYKAA-6143@ybl,Shopping,-4464.03
TXN00061,17-05-2025,AIRTEL PAYMENTS BANK 6403,Bills & Utilities,-2468.00
TXN00062,17-04-2025,STEAM GAMES PURCHASE 5425,Entertainment,Rs. -997.41
TXN00063,28-01-2025,UPI-MEESHOFOOD-2133@ybl,Food & Dining,-403.94
TXN00064,14-03-2025,UPI-HOUSERENT-5173@okhdfc,Rent & Housing,-17922.15
TXN00065,06-02-2025,NATURE BASKET STORE 1960,Groceries,-2379.88
TXN00066,20-03-2025,NATURE BASKET STORE 6279,Groceries,"Rs. -3,489.24"
TXN00067,10-06-2025,POS 5544 MYNTRA DESIGNS,Shopping,-2276.67
TXN00068,20-06-2025,POS 3391 MEDPLUS HEALTH,Healthcare,-414.62
TXN00069,15-06-2025,NETFLIX.COM 5835,Entertainment,-1068.67
TXN00070,17-05-2025,PARKPLUS TOLL 5722,Transport,-705.28
TXN00071,28-01-2025,UPI-SPLITWISE-SETTLE-3060@okaxis,Income & Transfers,-53884.34
TXN00072,12-03-2025,UPI-DMART-5573@okicici,Groceries,-3382.31
TXN00073,14-06-2025,AIRTEL PAYMENTS BANK 2591,Bills & Utilities,"Rs. -1,894.43"
TXN00074,31-03-2025,IRCTC WEB 4505,Transport,Rs. -735.27
TXN00075,17-06-2025,FLIPKART*ORDER3306,Shopping,"Rs. -3,049.98"
TXN00076,14-04-2025,SPOTIFY AB 2983,Entertainment,-422.20
TXN00077,02-04-2025,NEFT-RENT-LANDLORD-7232,Rent & Housing,-16698.52
TXN00078,29-03-2025,UPI-CHAIPOINT-4841@okhdfc,Food & Dining,Rs. -532.48
TXN00079,14-04-2025,BBPS-BROADBAND-ACT-2669,Bills & Utilities,Rs. -731.14
TXN00080,15-04-2025,FORTIS HOSPITAL BILLDESK 1672,Healthcare,-3359.47
TXN00081,25-06-2025,IRCTC WEB 7797,Transport,-387.38
TXN00082,20-02-2025,POS 8810 RETAIL OUTLET,Shopping,"Rs. -3,680.34"
TXN00083,12-05-2025,POS 6631 CROMA ELECTRONICS,Shopping,-502.99
TXN00084,15-05-2025,POS 1000 SERVICES PVT LTD,Bills & Utilities,Rs. -831.88
TXN00085,10-06-2025,UPI-NYKAA-5901@ybl,Shopping,-3854.79
TXN00086,09-01-2025,UPI-NYKAA-4150@ybl,Shopping,-653.27
TXN00087,26-04-2025,UPI-JIOPREPAID-4180@okaxis,Bills & Utilities,-870.27
TXN00088,05-06-2025,UPI-BYJUS-2121@okaxis,Education,-12237.98
TXN00089,01-03-2025,NEFT-FREELANCE-PAYMENT-3442,Income & Transfers,-30562.52
TXN00090,13-02-2025,POS 5544 MYNTRA DESIGNS,Shopping,-4853.04
TXN00091,19-01-2025,UPI-DTHRECHARGE-9669@paytm,Bills & Utilities,-655.49
TXN00092,01-01-2025,UPI-JIOPREPAID-7912@okaxis,Bills & Utilities,Rs. -278.22
TXN00093,30-01-2025,NETFLIX.COM 4750,Entertainment,"Rs. -1,296.45"
TXN00094,23-04-2025,BSNL LANDLINE BILL 8753,Bills & Utilities,-2998.49
TXN00095,19-03-2025,NATURE BASKET STORE 3851,Groceries,-2994.78
TXN00096,22-05-2025,IMPS-FROM-RAHUL-K-8483,Income & Transfers,"Rs. 43,623.62"
TXN00097,18-06-2025,UPI-BOOKMYSHOW-7511@okhdfc,Entertainment,-1177.38
TXN00098,13-03-2025,UBER *TRIP 2889,Transport,-873.91
TXN00099,04-02-2025,DECATHLON SPORTS 4006,Shopping,"Rs. -5,642.47"
TXN00100,18-05-2025,UPI-HPCLPETROL-9431@paytm,Transport,-281.32
TXN00101,10-05-2025,POS 9001 INDIAN OIL PETROL,Transport,-69.10
TXN00102,16-04-2025,STARBUCKS COFFEE #1207,Food & Dining,Rs. -635.81
TXN00103,22-05-2025,POS 8842 PVR CINEMAS,Entertainment,-1089.99
TXN00104,10-06-2025,UPI-HOUSERENT-2210@okhdfc,Rent & Housing,-8108.56
TXN00105,13-02-2025,BBPS-BROADBAND-ACT-7615,Bills & Utilities,-3376.72
