txn_id,date_clean,description,amount_clean,txn_type
TXN00001,2025-05-07,UBER *TRIP 2625,-811.89,debit
TXN00002,2025-06-28,UPI-BOOKMYSHOW-8264@okhdfc,-220.16,debit
TXN00003,2025-05-22,POS 2210 LIFESTYLE STORE,-1075.17,debit
TXN00004,2025-02-24,UPI-BLINKIT-6617@ybl,-3003.6,debit
TXN00005,2025-01-08,DECATHLON SPORTS 2291,-5661.19,debit
TXN00006,2025-06-12,UPI-GASBILLPAY-1359@ybl,-457.78,debit
TXN00007,2025-06-29,IMPS-TO-MOM-8450,-5356.98,debit
TXN00008,2025-02-21,BBPS-ELECTRICITY-5905,-1667.19,debit
TXN00009,2025-03-13,POS 1140 UDEMY ONLINE,-9626.28,debit
TXN00011,2025-04-01,POS 7719 BARBEQUE NATION,-658.75,debit
TXN00012,2025-03-02,AMAZON.IN 6050,-5723.4,debit
TXN00013,2025-06-16,UPI-ZEPTO-9697@okaxis,-2343.28,debit
TXN00014,2025-02-02,BBPS-BROADBAND-ACT-9834,-2071.57,debit
TXN00015,2025-04-16,UPI-HPCLPETROL-7071@paytm,-423.26,debit
TXN00016,2025-04-27,UPI-ZEPTO-3939@okaxis,-2323.25,debit
TXN00017,2025-05-22,POS 0092 GENERAL STORE,-2208.06,debit
TXN00018,2025-04-29,SWIGGY*ORD5658 BANGALORE,-365.4,debit
TXN00019,2025-01-27,UPI-BURGERKING-2290@paytm,-1120.93,debit
TXN00020,2025-06-22,UPI-JIOPREPAID-3290@okaxis,-598.73,debit
TXN00021,2025-01-16,IMPS-MAINTENANCE-SOC-4483,-13344.05,debit
TXN00022,2025-06-17,POS 3320 SPENCERS RETAIL,-399.63,debit
TXN00023,2025-03-20,AMAZON.IN 5978,-4952.25,debit
TXN00024,2025-06-17,SPOTIFY AB 2886,-647.51,debit
TXN00026,2025-06-18,MC DONALDS IN 3024,-986.36,debit
TXN00027,2025-06-06,POS 8842 PVR CINEMAS,-1126.62,debit
TXN00028,2025-02-13,UPI-BURGERKING-5033@paytm,-579.4,debit
TXN00029,2025-05-26,UPI-SPLITWISE-SETTLE-5377@okaxis,-52483.79,debit
TXN00030,2025-04-03,UPI-NYKAA-5892@ybl,-3382.66,debit
TXN00031,2025-01-17,POS 4521 CCD MG ROAD,-454.24,debit
TXN00032,2025-03-24,UPI-PRACTO-3881@okicici,-3939.9,debit
TXN00033,2025-01-29,SWIGGY*ORD4770 BANGALORE,-876.49,debit
TXN00034,2025-02-20,POS 1140 UDEMY ONLINE,-9815.08,debit
TXN00035,2025-02-07,POS 3320 SPENCERS RETAIL,-415.02,debit
TXN00036,2025-03-05,UPI-BYJUS-3938@okaxis,-1966.28,debit
TXN00037,2025-02-10,BBPS-ELECTRICITY-6138,-3125.98,debit
TXN00038,2025-04-06,NATURE BASKET STORE 8956,-2177.89,debit
TXN00039,2025-03-25,UPI-SPLITWISE-SETTLE-6198@okaxis,-29810.78,debit
TXN00040,2025-05-11,UPI-CHAIPOINT-5728@okhdfc,-1183.62,debit
TXN00041,2025-05-02,UPI-1MG-9056@ybl,-4735.97,debit
TXN00042,2025-02-14,BBPS-ELECTRICITY-2343,-2287.06,debit
TXN00043,2025-04-17,UPI-NYKAA-8532@ybl,-5476.24,debit
TXN00044,2025-02-05,UPI-BLINKIT-2235@ybl,-3468.17,debit
TXN00045,2025-01-29,POS 8842 PVR CINEMAS,-162.42,debit
TXN00046,2025-05-13,SPOTIFY AB 9199,-898.14,debit
TXN00047,2025-06-03,BBPS-WATERBOARD-2315,-2240.5,debit
